NDB_No,Food_Name,Water_(g),Energy_Kcal,Protein_(g),Lipid_Total_(g),Ash_(g),Carbohydrates_(g),Fiber_TD_(g),Sugar_Total_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Pantothenic_Acid_mg),Vit_B6_(mg),Folate_Total_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_(mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE_(µg),Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholesterol_(mg),Refuse_Pct,Grams per Serving,Serving Size
04589,"FISH OIL,COD LIVER",0,902,0,100,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,100000,30000,30000,,,,,,,250,10000,,22.608,46.711,22.541,570,0,4,1 tsp
11216,"GINGER ROOT,RAW",78.89,80,1.82,0.75,0.77,17.77,2,1.7,16,0.6,43,34,415,13,0.34,0.226,0.229,0.7,5,0.025,0.034,0.75,0.203,0.16,11,0,11,11,28.8,0,0,0,0,0,0,0,0,0,0.26,0,0,0.1,0.203,0.154,0.154,0,7,2,1 tsp
11234,"KALE,CKD,BLD,DRND,WO/SALT",91.2,28,1.9,0.4,0.87,5.63,2,1.25,72,0.9,18,28,228,23,0.24,0.156,0.416,0.9,41,0.053,0.07,0.5,0.049,0.138,13,0,13,13,0.4,0,13621,681,0,0,8173,0,0,18246,0.85,0,0,817,0.052,0.03,0.193,0,0,130,"1 cup, chopped"
11233,"KALE,RAW",84.04,49,4.28,0.93,2.01,8.75,3.6,2.26,150,1.47,47,92,491,38,0.56,1.499,0.659,0.9,120,0.11,0.13,1,0.091,0.271,141,0,141,141,0.8,0,9990,500,0,54,5927,81,0,8198,1.54,0,0,704.8,0.091,0.052,0.338,0,28,16,"1 cup, 1"" pieces, loosely packed"
11247,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,WO/SALT",90.8,31,0.81,0.2,0.57,7.62,1,2.11,30,1.1,14,17,87,10,0.06,0.062,0.247,0.5,4.2,0.026,0.02,0.2,0.072,0.113,24,0,24,24,,0,812,41,0,0,487,0,0,925,0.5,0,0,25.4,0.027,0.003,0.111,0,0,124,1 leek
09156,"LEMON PEEL,RAW",81.6,47,1.5,0.3,0.6,16,10.6,4.17,134,0.8,15,12,160,6,0.25,0.092,,0.7,129,0.06,0.08,0.4,0.319,0.172,13,0,13,13,8.5,0,50,3,0,1,7,45,0,18,0.25,0,0,0,0.039,0.011,0.089,0,0,6,1 tbsp
16070,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",69.64,116,9.02,0.38,0.83,20.13,7.9,1.8,19,3.33,36,180,369,2,1.27,0.251,0.494,2.8,1.5,0.169,0.073,1.06,0.638,0.178,181,0,181,181,32.7,0,8,0,0,0,5,0,0,0,0.11,0,0,1.7,0.053,0.064,0.175,0,0,198,1 cup
11249,"LENTILS,SPROUTED,CKD,STIR-FRIED,WO/SALT",68.7,101,8.8,0.45,0.8,21.25,,,14,3.1,35,153,284,10,1.6,0.337,0.502,0.6,12.6,0.22,0.09,1.2,0.571,0.164,67,0,67,67,,0,41,2,0,,,,,,,0,0,,0.053,0.095,0.201,0,0,198,1 cup
11032,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",67.17,123,6.81,0.32,2.06,23.64,5.3,1.63,32,2.45,74,130,570,17,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,26,26,44.1,0,303,15,0,0,182,0,0,0,0.14,0,0,6.2,0.073,0.019,0.154,0,0,170,1 cup
16072,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,WO/SALT",69.79,115,7.8,0.38,1.15,20.88,7,2.9,17,2.39,43,111,508,2,0.95,0.235,0.516,4.5,0,0.161,0.055,0.421,0.422,0.161,83,0,83,83,32.5,0,0,0,0,0,0,0,0,0,0.18,0,0,2,0.089,0.034,0.171,0,0,188,1 cup
09159,"LIMES,RAW",88.26,30,0.7,0.2,0.3,10.54,2.8,1.69,33,0.6,6,18,102,2,0.11,0.065,0.008,0.4,29.1,0.03,0.02,0.2,0.217,0.043,8,0,8,8,5.1,0,50,2,0,0,30,0,0,0,0.22,0,0,0.6,0.022,0.019,0.055,0,16,67,"1 fruit,  (2"" dia)"
